split,image_path,xml_path,object_name,before,after,reason
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04521.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04521.xml,0,"(189.0, 20.0, 217.0, 44.0)","(189, 20, 216, 44)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04543_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04543_1.xml,2,"(144.0, 14.0, 164.0, 61.0)","(144, 14, 164, 60)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04659.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04659.xml,3,"(140.0, 22.0, 157.0, 48.0)","(140, 22, 157, 47)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06151.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06151.xml,1,"(259.0, 21.0, 297.0, 75.0)","(259, 21, 297, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06181.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06181.xml,6,"(542.0, 55.0, 606.0, 158.0)","(542, 55, 606, 157)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.xml,9,"(13.0, 8.0, 28.0, 38.0)","(13, 8, 28, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.xml,5,"(27.0, 8.0, 42.0, 38.0)","(27, 8, 42, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06270_1.xml,2,"(67.0, 6.0, 81.0, 38.0)","(67, 6, 81, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06339_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06339_1.xml,2,"(44.0, 16.0, 76.0, 95.0)","(44, 16, 76, 94)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06355.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06355.xml,7,"(602.0, 54.0, 666.0, 160.0)","(602, 54, 666, 159)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06368.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06368.xml,8,"(90.0, 6.0, 100.0, 23.0)","(90, 6, 100, 22)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06368_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06368_extra.xml,8,"(90.0, 6.0, 100.0, 23.0)","(90, 6, 100, 22)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06382.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06382.xml,1,"(376.0, 63.0, 412.0, 156.0)","(376, 63, 412, 155)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06404.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/06404.xml,1,"(11.0, 5.0, 18.0, 19.0)","(11, 5, 18, 18)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07756.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07756.xml,6,"(459.0, 39.0, 500.0, 125.0)","(459, 39, 499, 125)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07796.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07796.xml,6,"(153.0, 20.0, 181.0, 70.0)","(153, 20, 181, 69)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07905.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/07905.xml,5,"(14.0, 10.0, 32.0, 37.0)","(14, 10, 32, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09194.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09194.xml,2,"(60.0, 30.0, 96.0, 115.0)","(60, 30, 96, 114)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09545.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09545.xml,9,"(11.0, 5.0, 23.0, 34.0)","(11, 5, 23, 33)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09547_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09547_1.xml,9,"(93.0, 5.0, 107.0, 24.0)","(93, 5, 106, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09714.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09714.xml,6,"(86.0, 11.0, 97.0, 27.0)","(86, 11, 97, 26)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09882.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09882.xml,8,"(191.0, 22.0, 212.0, 59.0)","(191, 22, 212, 58)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09922.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/09922.xml,5,"(99.0, 26.0, 179.0, 148.0)","(99, 26, 179, 147)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10046.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10046.xml,8,"(50.0, 25.0, 94.0, 119.0)","(50, 25, 94, 118)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10046_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10046_extra.xml,8,"(50.0, 25.0, 94.0, 119.0)","(50, 25, 94, 118)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10073.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/10073.xml,1,"(460.0, 29.0, 497.0, 112.0)","(460, 29, 497, 111)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11601_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11601_1.xml,6,"(85.0, 1.0, 98.0, 34.0)","(85, 1, 98, 33)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11602.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11602.xml,6,"(154.0, 15.0, 176.0, 55.0)","(154, 15, 175, 55)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11647.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11647.xml,2,"(265.0, 7.0, 304.0, 79.0)","(265, 7, 304, 78)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11690_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11690_1.xml,8,"(54.0, 55.0, 111.0, 147.0)","(54, 55, 111, 146)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11839.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11839.xml,3,"(101.0, 9.0, 115.0, 32.0)","(101, 9, 114, 32)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11839_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/11839_extra.xml,3,"(101.0, 9.0, 115.0, 32.0)","(101, 9, 114, 32)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13896.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13896.xml,1,"(53.0, 82.0, 97.0, 179.0)","(53, 82, 97, 178)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13910_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13910_1.xml,8,"(162.0, 25.0, 199.0, 83.0)","(162, 25, 198, 83)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13962.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13962.xml,و,"(34.0, 3.0, 50.0, 25.0)","(34, 3, 50, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13997.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/13997.xml,3,"(208.0, 14.0, 228.0, 59.0)","(208, 14, 227, 59)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/14049_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/14049_1.xml,2,"(535.0, 30.0, 599.0, 155.0)","(535, 30, 599, 154)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/14061.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/14061.xml,8,"(152.0, 12.0, 167.0, 37.0)","(152, 12, 167, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15350.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15350.xml,4,"(136.0, 11.0, 152.0, 38.0)","(136, 11, 151, 38)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15367.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15367.xml,4,"(209.0, 24.0, 232.0, 75.0)","(209, 24, 232, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15367.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15367.xml,4,"(235.0, 27.0, 260.0, 75.0)","(235, 27, 260, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15939.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15939.xml,3,"(292.0, 72.0, 328.0, 135.0)","(292, 72, 328, 134)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15985.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/15985.xml,6,"(602.0, 61.0, 665.0, 162.0)","(602, 61, 665, 161)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18019.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18019.xml,1,"(336.0, 32.0, 367.0, 114.0)","(336, 32, 367, 113)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18112.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18112.xml,6,"(869.0, 74.0, 967.0, 226.0)","(869, 74, 966, 226)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18125.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18125.xml,8,"(122.0, 18.0, 135.0, 39.0)","(122, 18, 135, 38)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18125_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18125_extra.xml,8,"(122.0, 18.0, 135.0, 39.0)","(122, 18, 135, 38)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18222.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18222.xml,5,"(334.0, 12.0, 381.0, 96.0)","(334, 12, 381, 95)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18341.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/18341.xml,1,"(116.0, 31.0, 186.0, 189.0)","(116, 31, 186, 188)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20189.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20189.xml,7,"(113.0, 5.0, 127.0, 30.0)","(113, 5, 126, 30)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20193_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20193_1.xml,5,"(56.0, 35.0, 135.0, 162.0)","(56, 35, 135, 161)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20209.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20209.xml,م,"(32.0, 1.0, 46.0, 27.0)","(32, 1, 46, 26)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20329.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20329.xml,8,"(25.0, 3.0, 40.0, 24.0)","(25, 3, 40, 23)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20337.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20337.xml,9,"(302.0, 24.0, 334.0, 72.0)","(302, 24, 333, 72)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20398.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/20398.xml,9,"(37.0, 3.0, 56.0, 38.0)","(37, 3, 56, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22440.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22440.xml,1,"(118.0, 14.0, 131.0, 43.0)","(118, 14, 131, 42)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22447.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22447.xml,2,"(440.0, 38.0, 489.0, 113.0)","(440, 38, 488, 113)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22447_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22447_extra.xml,2,"(440.0, 38.0, 489.0, 113.0)","(440, 38, 488, 113)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22606.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22606.xml,8,"(60.0, 2.0, 73.0, 25.0)","(60, 2, 73, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22606.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22606.xml,7,"(71.0, 2.0, 86.0, 25.0)","(71, 2, 86, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22622.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22622.xml,4,"(290.0, 21.0, 323.0, 84.0)","(290, 21, 323, 83)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22674.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22674.xml,6,"(101.0, 9.0, 113.0, 33.0)","(101, 9, 113, 32)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22782.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/22782.xml,4,"(63.0, 4.0, 73.0, 28.0)","(63, 4, 73, 27)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/24918_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/24918_1.xml,6,"(30.0, 13.0, 45.0, 35.0)","(30, 13, 45, 34)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25011.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25011.xml,5,"(573.0, 65.0, 637.0, 164.0)","(573, 65, 636, 164)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25241.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25241.xml,4,"(26.0, 9.0, 44.0, 47.0)","(26, 9, 44, 46)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25283.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/25283.xml,9,"(117.0, 50.0, 153.0, 144.0)","(117, 50, 153, 143)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27488.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27488.xml,8,"(69.0, 2.0, 84.0, 38.0)","(69, 2, 84, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27514_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27514_1.xml,8,"(195.0, 25.0, 218.0, 66.0)","(195, 25, 218, 65)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.xml,2,"(66.0, 4.0, 79.0, 28.0)","(66, 4, 79, 27)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.xml,5,"(79.0, 4.0, 93.0, 28.0)","(79, 4, 93, 27)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/27532_extra.xml,9,"(93.0, 5.0, 106.0, 28.0)","(93, 5, 106, 27)",Tiny overflow clamped: max_overflow=1.000px
